2022-11-09 16:20:28 startup archives unpack
2022-11-09 16:20:28 install libwrap0:amd64 7.6.q-28 7.6.q-28
2022-11-09 16:20:28 status triggers-pending libc-bin:amd64 2.28-10
2022-11-09 16:20:28 status half-installed libwrap0:amd64 7.6.q-28
2022-11-09 16:20:28 status triggers-pending man-db:amd64 2.8.5-2
2022-11-09 16:20:28 status unpacked libwrap0:amd64 7.6.q-28
2022-11-09 16:20:28 install openssh-sftp-server:amd64 <ninguna> 1:7.9p1-10+deb10u2
2022-11-09 16:20:28 status half-installed openssh-sftp-server:amd64 1:7.9p1-10+deb10u2
2022-11-09 16:20:28 status unpacked openssh-sftp-server:amd64 1:7.9p1-10+deb10u2
2022-11-09 16:20:28 install openssh-server:amd64 <ninguna> 1:7.9p1-10+deb10u2
2022-11-09 16:20:28 status half-installed openssh-server:amd64 1:7.9p1-10+deb10u2
2022-11-09 16:20:28 status triggers-pending systemd:amd64 241-7~deb10u4
2022-11-09 16:20:28 status unpacked openssh-server:amd64 1:7.9p1-10+deb10u2
2022-11-09 16:20:28 startup packages configure
2022-11-09 16:20:28 configure openssh-sftp-server:amd64 1:7.9p1-10+deb10u2 <ninguna>
2022-11-09 16:20:28 status unpacked openssh-sftp-server:amd64 1:7.9p1-10+deb10u2
2022-11-09 16:20:28 status half-configured openssh-sftp-server:amd64 1:7.9p1-10+deb10u2
2022-11-09 16:20:28 status installed openssh-sftp-server:amd64 1:7.9p1-10+deb10u2
2022-11-09 16:20:28 configure libwrap0:amd64 7.6.q-28 <ninguna>
2022-11-09 16:20:28 status unpacked libwrap0:amd64 7.6.q-28
2022-11-09 16:20:28 status half-configured libwrap0:amd64 7.6.q-28
2022-11-09 16:20:28 status installed libwrap0:amd64 7.6.q-28
2022-11-09 16:20:28 configure openssh-server:amd64 1:7.9p1-10+deb10u2 <ninguna>
2022-11-09 16:20:28 status unpacked openssh-server:amd64 1:7.9p1-10+deb10u2
2022-11-09 16:20:28 status half-configured openssh-server:amd64 1:7.9p1-10+deb10u2
2022-11-09 16:20:30 status installed openssh-server:amd64 1:7.9p1-10+deb10u2
2022-11-09 16:20:30 trigproc systemd:amd64 241-7~deb10u4 <ninguna>
2022-11-09 16:20:30 status half-configured systemd:amd64 241-7~deb10u4
2022-11-09 16:20:30 status installed systemd:amd64 241-7~deb10u4
2022-11-09 16:20:30 trigproc man-db:amd64 2.8.5-2 <ninguna>
2022-11-09 16:20:30 status half-configured man-db:amd64 2.8.5-2
2022-11-09 16:20:30 status installed man-db:amd64 2.8.5-2
2022-11-09 16:20:30 trigproc libc-bin:amd64 2.28-10 <ninguna>
2022-11-09 16:20:30 status half-configured libc-bin:amd64 2.28-10
2022-11-09 16:20:30 status installed libc-bin:amd64 2.28-10
2022-11-09 16:21:02 startup archives unpack
2022-11-09 16:21:02 install libdevmapper-event1.02.1:amd64 <ninguna> 2:1.02.155-3
2022-11-09 16:21:02 status triggers-pending libc-bin:amd64 2.28-10
2022-11-09 16:21:02 status half-installed libdevmapper-event1.02.1:amd64 2:1.02.155-3
2022-11-09 16:21:02 status unpacked libdevmapper-event1.02.1:amd64 2:1.02.155-3
2022-11-09 16:21:02 install libaio1:amd64 <ninguna> 0.3.112-3
2022-11-09 16:21:02 status half-installed libaio1:amd64 0.3.112-3
2022-11-09 16:21:02 status unpacked libaio1:amd64 0.3.112-3
2022-11-09 16:21:02 install liblvm2cmd2.03:amd64 <ninguna> 2.03.02-3
2022-11-09 16:21:02 status half-installed liblvm2cmd2.03:amd64 2.03.02-3
2022-11-09 16:21:02 status unpacked liblvm2cmd2.03:amd64 2.03.02-3
2022-11-09 16:21:02 install dmeventd:amd64 <ninguna> 2:1.02.155-3
2022-11-09 16:21:02 status half-installed dmeventd:amd64 2:1.02.155-3
2022-11-09 16:21:02 status triggers-pending man-db:amd64 2.8.5-2
2022-11-09 16:21:02 status unpacked dmeventd:amd64 2:1.02.155-3
2022-11-09 16:21:02 install libreadline5:amd64 <ninguna> 5.2+dfsg-3+b13
2022-11-09 16:21:02 status half-installed libreadline5:amd64 5.2+dfsg-3+b13
2022-11-09 16:21:02 status unpacked libreadline5:amd64 5.2+dfsg-3+b13
2022-11-09 16:21:02 install lvm2:amd64 <ninguna> 2.03.02-3
2022-11-09 16:21:02 status half-installed lvm2:amd64 2.03.02-3
2022-11-09 16:21:02 status triggers-pending systemd:amd64 241-7~deb10u4
2022-11-09 16:21:02 status unpacked lvm2:amd64 2.03.02-3
2022-11-09 16:21:02 install thin-provisioning-tools:amd64 <ninguna> 0.7.6-2.1
2022-11-09 16:21:02 status half-installed thin-provisioning-tools:amd64 0.7.6-2.1
2022-11-09 16:21:02 status unpacked thin-provisioning-tools:amd64 0.7.6-2.1
2022-11-09 16:21:02 startup packages configure
2022-11-09 16:21:02 configure libreadline5:amd64 5.2+dfsg-3+b13 <ninguna>
2022-11-09 16:21:02 status unpacked libreadline5:amd64 5.2+dfsg-3+b13
2022-11-09 16:21:02 status half-configured libreadline5:amd64 5.2+dfsg-3+b13
2022-11-09 16:21:02 status installed libreadline5:amd64 5.2+dfsg-3+b13
2022-11-09 16:21:02 configure libdevmapper-event1.02.1:amd64 2:1.02.155-3 <ninguna>
2022-11-09 16:21:02 status unpacked libdevmapper-event1.02.1:amd64 2:1.02.155-3
2022-11-09 16:21:02 status half-configured libdevmapper-event1.02.1:amd64 2:1.02.155-3
2022-11-09 16:21:02 status installed libdevmapper-event1.02.1:amd64 2:1.02.155-3
2022-11-09 16:21:02 configure libaio1:amd64 0.3.112-3 <ninguna>
2022-11-09 16:21:02 status unpacked libaio1:amd64 0.3.112-3
2022-11-09 16:21:02 status half-configured libaio1:amd64 0.3.112-3
2022-11-09 16:21:02 status installed libaio1:amd64 0.3.112-3
2022-11-09 16:21:02 configure thin-provisioning-tools:amd64 0.7.6-2.1 <ninguna>
2022-11-09 16:21:02 status unpacked thin-provisioning-tools:amd64 0.7.6-2.1
2022-11-09 16:21:02 status half-configured thin-provisioning-tools:amd64 0.7.6-2.1
2022-11-09 16:21:02 status installed thin-provisioning-tools:amd64 0.7.6-2.1
2022-11-09 16:21:02 status triggers-pending initramfs-tools:all 0.133+deb10u1
2022-11-09 16:21:02 configure liblvm2cmd2.03:amd64 2.03.02-3 <ninguna>
2022-11-09 16:21:02 status unpacked liblvm2cmd2.03:amd64 2.03.02-3
2022-11-09 16:21:02 status half-configured liblvm2cmd2.03:amd64 2.03.02-3
2022-11-09 16:21:02 status installed liblvm2cmd2.03:amd64 2.03.02-3
2022-11-09 16:21:02 configure dmeventd:amd64 2:1.02.155-3 <ninguna>
2022-11-09 16:21:02 status unpacked dmeventd:amd64 2:1.02.155-3
2022-11-09 16:21:02 status half-configured dmeventd:amd64 2:1.02.155-3
2022-11-09 16:21:03 status installed dmeventd:amd64 2:1.02.155-3
2022-11-09 16:21:03 configure lvm2:amd64 2.03.02-3 <ninguna>
2022-11-09 16:21:03 status unpacked lvm2:amd64 2.03.02-3
2022-11-09 16:21:03 status half-configured lvm2:amd64 2.03.02-3
2022-11-09 16:21:05 status installed lvm2:amd64 2.03.02-3
2022-11-09 16:21:05 trigproc libc-bin:amd64 2.28-10 <ninguna>
2022-11-09 16:21:05 status half-configured libc-bin:amd64 2.28-10
2022-11-09 16:21:05 status installed libc-bin:amd64 2.28-10
2022-11-09 16:21:05 trigproc systemd:amd64 241-7~deb10u4 <ninguna>
2022-11-09 16:21:05 status half-configured systemd:amd64 241-7~deb10u4
2022-11-09 16:21:05 status installed systemd:amd64 241-7~deb10u4
2022-11-09 16:21:05 trigproc man-db:amd64 2.8.5-2 <ninguna>
2022-11-09 16:21:05 status half-configured man-db:amd64 2.8.5-2
2022-11-09 16:21:06 status installed man-db:amd64 2.8.5-2
2022-11-09 16:21:06 trigproc initramfs-tools:all 0.133+deb10u1 <ninguna>
2022-11-09 16:21:06 status half-configured initramfs-tools:all 0.133+deb10u1
2022-11-09 16:21:16 status installed initramfs-tools:all 0.133+deb10u1
